Yêu cầu sửa đổi,Giải pháp thực hiện,Tên phiên bản,Thời gian xây dựng
"Khởi tạo nhật ký phát triển","Tạo tệp development_log.csv theo quy tắc chung",1.0.0,31-07-2026 10:04:17
"Gỡ chặn khởi động","Sửa import pywebview trong main.py và bổ sung GEMINI_MODEL trong config.py",1.1.0,31-07-2026 10:08:30
"Quản lý COM thread","Tạo com_worker.py chạy thao tác Outlook COM trên thread STA duy nhất",1.1.0,31-07-2026 10:08:30
"Nâng cấp outlook_client.py","Khắc phục lỗi múi giờ ISO, tăng tốc tải thư, phân trang EntryID và hỗ trợ đọc thư đã gửi cho AI",1.1.0,31-07-2026 10:08:30
"Ghi đè api.py và kiểm chứng","Chuyển toàn bộ thao tác Outlook qua com_call và kiểm chứng thành công kết nối COM",1.1.0,31-07-2026 10:08:30
"Ghi đè ai_engine.py","Khắc phục lỗi L10 báo lỗi AI dưới dạng exception và bổ sung phân loại Gemini",1.1.0,31-07-2026 10:08:30
"Tạo cache và cập nhật style_analyzer","Tạo classification_cache.py và cập nhật style_analyzer.py",1.1.0,31-07-2026 10:08:30
"Nâng cấp Frontend","Cập nhật index.html, utils.js, email-viewer.js iframe sandbox, email-list.js filter chips, app.js và styles.css",1.1.0,31-07-2026 10:08:30
"Nghiệm thu và Bàn giao v1.1.0","Hoàn thành toàn bộ 8 bước triển khai, bổ sung tài liệu README và HUONG_DAN_SU_DUNG",1.1.0,31-07-2026 10:08:30
"Sửa lỗi API Gemini báo 429 dù key chưa dùng","Xác định nguyên nhân là model gemini-2.0-flash có hạn mức miễn phí bằng 0 với API key mới; đổi mặc định sang gemini-flash-latest trong config.py và ai_engine.py; tách thông báo lỗi 429 limit:0 (phải đổi model) khỏi 429 gọi quá nhanh (chờ rồi thử lại)",1.1.1,31-07-2026 14:07:22
"Sửa launcher CHAY_UNGDUNG.bat không mở ứng dụng","Bỏ start và pythonw.exe vốn che mất lỗi; chạy python.exe trực tiếp và giữ cửa sổ khi chương trình thoát lỗi",1.1.2,04-08-2026 14:23:36
"Mở rộng học văn phong và phân tích hộp thư","Quét toàn bộ thư đã gửi theo trang, loại trùng, phân nhóm và tổng hợp nhiều lô AI; bổ sung phân loại toàn bộ thư mục với cache, giữ 30 thư cho giao diện",1.2.0,04-08-2026 17:58:00
"Ổn định phân tích văn phong","Giới hạn 120 mẫu đại diện và 8 thư mỗi lô, giảm kích thước prompt, bổ sung log tiến trình để tránh timeout khi hộp thư lớn",1.2.1,04-08-2026 18:08:30
"Sửa modal Cài đặt không cuộn được","Bổ sung vùng cuộn độc lập cho lớp phủ và thẻ Cài đặt, giới hạn chiều cao theo màn hình và hỗ trợ màn hình thấp",1.2.2,04-08-2026 18:13:30
"Sửa thanh cuộn danh sách","Bổ sung overflow-y và min-height:0 cho cột thư mục, danh sách email và các khung grid/flex để danh sách cuộn độc lập",1.2.3,04-08-2026 18:18:30
"Tạo Outlook Web Add-in MVP","Tạo manifest, task pane và backend HTTP cho đọc email hiện tại, phân tích Gemini và soạn phản hồi; giữ nguyên ứng dụng desktop hiện tại",1.3.0,04-08-2026 18:40:00
"Bổ sung HTTPS cho Outlook Add-in","Thêm tạo chứng chỉ localhost, HTTPS backend, launcher và icon; cập nhật manifest/task pane để chạy trên URL HTTPS",1.3.1,04-08-2026 18:50:00
"Chuyển Outlook Add-in sang local-only","Loại bỏ định hướng Microsoft Graph/Entra ID; xác nhận add-in chỉ dùng Outlook local API, backend Python và COM trên máy cá nhân",1.3.2,04-08-2026 19:00:00
"Sửa lỗi làm hỏng việc học văn phong","api.py dùng raw string r""^(re|fw|fwd):\\s*"" nên \s là dấu \ cộng chữ s, tiền tố Re:/Fw: không bao giờ bị cắt và mọi thư trả lời dồn vào một nhóm; thay bằng _strip_subject_prefix có vòng lặp xử lý chuỗi RE: FW: RE: lồng nhau","1.4.0","05-08-2026 00:35:00"
"Xây kho tri thức offline sửa được bằng công cụ AI ngoài","Thêm backend/knowledge_base.py nạp Markdown theo mtime (sửa xong có hiệu lực ngay, không cần khởi động lại) kèm lọc mục theo email người gửi và chuẩn hoá hồ sơ văn phong sang schema v2; tạo bộ mẫu kien_thuc_mau/ gồm 7 tệp; gitignore kien_thuc/","1.4.0","05-08-2026 00:35:00"
"Soạn thư nháp dựa trên tệp đính kèm","Thêm backend/attachment_reader.py: PDF và ảnh gửi inline cho Gemini (đọc được cả PDF scan), .xlsx đọc bằng openpyxl, .docx đọc bằng stdlib zipfile để tránh phụ thuộc lxml; nới AIEngine._generate nhận list part và thêm tham số keyword-only cho generate_reply","1.4.0","05-08-2026 00:35:00"
"Vá bảo mật backend add-in","Bịt path traversal cho phép GET /addin/../.env lấy được GEMINI_API_KEY; xoá toàn bộ header CORS (task pane vốn same-origin); thêm token ngẫu nhiên chèn vào taskpane.html kèm kiểm tra Host/Origin/Sec-Fetch-Site; dừng hẳn khi thiếu chứng chỉ thay vì tụt xuống HTTP; chặn body quá 25 MB","1.4.0","05-08-2026 00:35:00"
"Lọc HTML do Gemini sinh trước khi chèn vào Outlook","Thêm _sanitize_html dùng beautifulsoup4 với danh sách trắng thẻ và thuộc tính, xoá script/style/img/iframe, gỡ mọi thuộc tính on* và href không phải http(s)/mailto","1.4.0","05-08-2026 00:35:00"
"Dựng lại manifest và task pane add-in","Hạ quyền ReadWriteMailbox xuống ReadItem; thêm VersionOverrides V1_0 tạo nút ribbon kèm icon PNG 16/32/80 và commands.html; viết lại task pane với đọc đính kèm, xem trước bản nháp sửa được, tinh chỉnh, và chèn thẳng vào form trả lời qua displayReplyForm","1.4.0","05-08-2026 00:35:00"
"Dùng chung một lõi cho cả hai bề mặt","addin_server.py dựng một EmailAssistantAPI lúc khởi động thay vì tạo AIEngine mới mỗi request; thêm generate_reply_from_payload và knowledge_status dùng chung; khoá threading.Lock quanh lời gọi AI","1.4.0","05-08-2026 00:35:00"
